# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
40              	1.91543131e-02	1.24172367e-02	6.73707641e-03	-1.04904438e-03	-6.04226782e-04	-4.44817595e-04	-7.97045937e-05	2.84008016e-03	-1.48799784e-02	1.79361567e-01	7.48008051e-02	1.04560762e-01
41              	1.92313885e-02	1.24320244e-02	6.79936410e-03	-1.00401789e-03	-5.75105951e-04	-4.28911934e-04	-7.30970085e-05	2.81633017e-03	-1.48468505e-02	1.79290215e-01	7.47982568e-02	1.04491958e-01
42              	1.91682736e-02	1.23882305e-02	6.78004305e-03	-9.93656720e-04	-5.57037500e-04	-4.36619220e-04	-6.02091401e-05	2.80409375e-03	-1.48595791e-02	1.79248772e-01	7.47648067e-02	1.04483965e-01
43              	1.90215721e-02	1.23199394e-02	6.70163266e-03	-1.03112991e-03	-5.57490280e-04	-4.73639625e-04	-4.19253273e-05	2.80915338e-03	-1.49028904e-02	1.79243082e-01	7.47186505e-02	1.04524431e-01
44              	1.88689369e-02	1.22649247e-02	6.60401213e-03	-1.10985463e-03	-5.76683689e-04	-5.33170944e-04	-2.17563724e-05	2.83045631e-03	-1.49530395e-02	1.79265987e-01	7.46799539e-02	1.04586033e-01
45              	1.87705072e-02	1.22462312e-02	6.52427598e-03	-1.20980355e-03	-6.09105072e-04	-6.00698480e-04	-4.20329623e-06	2.86097760e-03	-1.49900096e-02	1.79304173e-01	7.46620768e-02	1.04642096e-01
46              	1.87521394e-02	1.22662602e-02	6.48587922e-03	-1.30168332e-03	-6.44254633e-04	-6.57428686e-04	6.58702661e-06	2.89019048e-03	-1.50033428e-02	1.79342728e-01	7.46680213e-02	1.04674707e-01
47              	1.88040170e-02	1.23114658e-02	6.49255118e-03	-1.36339326e-03	-6.72404788e-04	-6.90988471e-04	9.29184167e-06	2.90945729e-03	-1.49935605e-02	1.79369806e-01	7.46913425e-02	1.04678464e-01
48              	1.88925338e-02	1.23617825e-02	6.53075128e-03	-1.38751699e-03	-6.88146644e-04	-6.99370348e-04	5.61185205e-06	2.91551562e-03	-1.49694029e-02	1.79379350e-01	7.47202722e-02	1.04659078e-01
49              	1.89792367e-02	1.23983356e-02	6.58090104e-03	-1.37709525e-03	-6.88960695e-04	-6.88134553e-04	-4.13070977e-07	2.90871730e-03	-1.49423810e-02	1.79371501e-01	7.47433693e-02	1.04628131e-01
