# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
100             	1.91525146e-02	1.24973782e-02	6.65513644e-03	-2.91537701e-03	-9.44075141e-04	-1.97130187e-03	5.13613363e-04	2.92112088e-03	-1.50100390e-02	1.79312674e-01	7.46462980e-02	1.04666376e-01
101             	1.91282014e-02	1.25119520e-02	6.61624945e-03	-2.95798180e-03	-9.53766911e-04	-2.00421489e-03	5.25223991e-04	2.94785125e-03	-1.50208698e-02	1.79322339e-01	7.46403000e-02	1.04682040e-01
102             	1.91048911e-02	1.25319354e-02	6.57295565e-03	-3.00630692e-03	-9.65351244e-04	-2.04095567e-03	5.37802216e-04	2.97948987e-03	-1.50311831e-02	1.79331625e-01	7.46346294e-02	1.04696996e-01
103             	1.90822804e-02	1.25569504e-02	6.52532999e-03	-3.05971014e-03	-9.78771575e-04	-2.08093857e-03	5.51083495e-04	3.01581022e-03	-1.50411050e-02	1.79340718e-01	7.46292543e-02	1.04711464e-01
104             	1.90603561e-02	1.25867786e-02	6.47357750e-03	-3.11768872e-03	-9.94045244e-04	-2.12364348e-03	5.64799118e-04	3.05660056e-03	-1.50506575e-02	1.79349725e-01	7.46242052e-02	1.04725520e-01
105             	1.90389031e-02	1.26212084e-02	6.41769467e-03	-3.18006988e-03	-1.01120589e-03	-2.16886399e-03	5.78829048e-04	3.10175687e-03	-1.50599168e-02	1.79358749e-01	7.46194577e-02	1.04739291e-01
106             	1.90177848e-02	1.26602105e-02	6.35757431e-03	-3.24709219e-03	-1.03035970e-03	-2.21673249e-03	5.93186400e-04	3.15131808e-03	-1.50689614e-02	1.79367833e-01	7.46149550e-02	1.04752878e-01
107             	1.89968837e-02	1.27039097e-02	6.29297401e-03	-3.31929645e-03	-1.05164822e-03	-2.26764823e-03	6.08000006e-04	3.20546786e-03	-1.50778408e-02	1.79376968e-01	7.46106430e-02	1.04766325e-01
108             	1.89763350e-02	1.27521740e-02	6.22416099e-03	-3.39655042e-03	-1.07505437e-03	-2.32149605e-03	6.23220843e-04	3.26400648e-03	-1.50865169e-02	1.79386079e-01	7.46065226e-02	1.04779557e-01
109             	1.89562977e-02	1.28048669e-02	6.15143078e-03	-3.47860177e-03	-1.10057055e-03	-2.37803123e-03	6.38730340e-04	3.32671808e-03	-1.50948873e-02	1.79395029e-01	7.46026273e-02	1.04792402e-01
