# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.36600000e+02
# lRef          : 1.03300000e-01
# Aref          : 6.78000000e-03
# CofR          : (3.50000000e-02 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
88              	2.93500132e-02	1.73380381e-02	1.20119752e-02	5.01279899e-04	2.83062635e-04	2.18217264e-04	3.24226854e-05	2.66303146e-03	-6.37850796e-03	1.97917162e-01	9.25800732e-02	1.05337089e-01
89              	2.93381610e-02	1.73343473e-02	1.20038137e-02	4.94791421e-04	2.80859886e-04	2.13931535e-04	3.34641755e-05	2.66526680e-03	-6.38857742e-03	1.97923518e-01	9.25731814e-02	1.05350336e-01
90              	2.93278519e-02	1.73305936e-02	1.19972583e-02	4.90837973e-04	2.78972990e-04	2.11864983e-04	3.35540033e-05	2.66666767e-03	-6.39834533e-03	1.97928993e-01	9.25661511e-02	1.05362842e-01
91              	2.93181861e-02	1.73265879e-02	1.19915982e-02	4.88838044e-04	2.77486765e-04	2.11351279e-04	3.30677429e-05	2.66749486e-03	-6.40799930e-03	1.97933741e-01	9.25588710e-02	1.05374870e-01
92              	2.93084689e-02	1.73222659e-02	1.19862029e-02	4.88111143e-04	2.76420062e-04	2.11691081e-04	3.23644902e-05	2.66803150e-03	-6.41768035e-03	1.97938061e-01	9.25513500e-02	1.05386711e-01
93              	2.92982313e-02	1.73176133e-02	1.19806180e-02	4.88060417e-04	2.75718561e-04	2.12341856e-04	3.16883526e-05	2.66849764e-03	-6.42749825e-03	1.97942321e-01	9.25436624e-02	1.05398659e-01
94              	2.92874781e-02	1.73127145e-02	1.19747635e-02	4.88351620e-04	2.75295251e-04	2.13056368e-04	3.11194416e-05	2.66897551e-03	-6.43745205e-03	1.97946809e-01	9.25359524e-02	1.05410857e-01
95              	2.92763956e-02	1.73076076e-02	1.19687881e-02	4.88985789e-04	2.75080471e-04	2.13905318e-04	3.05875763e-05	2.66940973e-03	-6.44750424e-03	1.97951650e-01	9.25283209e-02	1.05423329e-01
96              	2.92654211e-02	1.73023999e-02	1.19630212e-02	4.90064899e-04	2.74964923e-04	2.15099975e-04	2.99324740e-05	2.66968938e-03	-6.45757288e-03	1.97956792e-01	9.25208230e-02	1.05435969e-01
97              	2.92548520e-02	1.72970999e-02	1.19577521e-02	4.91851166e-04	2.74936581e-04	2.16914585e-04	2.90109983e-05	2.66967388e-03	-6.46759432e-03	1.97962111e-01	9.25134612e-02	1.05448650e-01
98              	2.92449311e-02	1.72917559e-02	1.19531751e-02	4.94495108e-04	2.74997754e-04	2.19497354e-04	2.77501998e-05	2.66929041e-03	-6.47751095e-03	1.97967436e-01	9.25062069e-02	1.05461229e-01
99              	2.92356225e-02	1.72863188e-02	1.19493037e-02	4.98100353e-04	2.75264112e-04	2.22836241e-04	2.62139353e-05	2.66850758e-03	-6.48728781e-03	1.97972564e-01	9.24989940e-02	1.05473570e-01
100             	2.92269237e-02	1.72809190e-02	1.19460047e-02	5.02343096e-04	2.75711741e-04	2.26631356e-04	2.45401925e-05	2.66745717e-03	-6.49693154e-03	1.97977453e-01	9.24917952e-02	1.05485658e-01
101             	2.92186408e-02	1.72756095e-02	1.19430313e-02	5.06880110e-04	2.76385421e-04	2.30494690e-04	2.29453654e-05	2.66628912e-03	-6.50644723e-03	1.97982068e-01	9.24845866e-02	1.05497481e-01
102             	2.92107096e-02	1.72705362e-02	1.19401735e-02	5.11229855e-04	2.77216176e-04	2.34013679e-04	2.16012487e-05	2.66518135e-03	-6.51586719e-03	1.97986485e-01	9.24773754e-02	1.05509110e-01
103             	2.92030670e-02	1.72658183e-02	1.19372487e-02	5.14959762e-04	2.78111958e-04	2.36847804e-04	2.06320772e-05	2.66428480e-03	-6.52518827e-03	1.97990750e-01	9.24701867e-02	1.05520563e-01
104             	2.91956772e-02	1.72615138e-02	1.19341634e-02	5.17806996e-04	2.78969428e-04	2.38837568e-04	2.00659300e-05	2.66367520e-03	-6.53443353e-03	1.97994949e-01	9.24630408e-02	1.05531908e-01
105             	2.91886024e-02	1.72576638e-02	1.19309387e-02	5.19678352e-04	2.79688307e-04	2.39990045e-04	1.98491311e-05	2.66336253e-03	-6.54357535e-03	1.97999112e-01	9.24559808e-02	1.05543132e-01
